t,measurement,prob.mean,prob.sigma,condition
0.08333,0.0686283,C1,sigma1,dose_1
0.08333,0.0684679,C1,sigma1,dose_1
0.08333,0.0726338,C1,sigma1,dose_1
0.25,0.119397,C1,sigma1,dose_1
0.25,0.137662,C1,sigma1,dose_1
0.25,0.120412,C1,sigma1,dose_1
0.5,0.131784,C1,sigma1,dose_1
0.5,0.101958,C1,sigma1,dose_1
0.5,0.125262,C1,sigma1,dose_1
1,0.0963455,C1,sigma1,dose_1
1,0.0844484,C1,sigma1,dose_1
1,0.0945812,C1,sigma1,dose_1
2,0.0629247,C1,sigma1,dose_1
2,0.0458036,C1,sigma1,dose_1
2,0.0489031,C1,sigma1,dose_1
4,0.0389377,C1,sigma1,dose_1
4,0.0436038,C1,sigma1,dose_1
4,0.0440236,C1,sigma1,dose_1
6,0.0316389,C1,sigma1,dose_1
6,0.0316222,C1,sigma1,dose_1
6,0.0324407,C1,sigma1,dose_1
8,0.0204367,C1,sigma1,dose_1
8,0.0275936,C1,sigma1,dose_1
8,0.0304052,C1,sigma1,dose_1
12,0.0165306,C1,sigma1,dose_1
12,0.0187342,C1,sigma1,dose_1
12,0.0160499,C1,sigma1,dose_1
24,0.00877083,C1,sigma1,dose_1
24,0.00789788,C1,sigma1,dose_1
24,0.0114478,C1,sigma1,dose_1
0.08333,0.867847,C1,sigma2,dose_10
0.08333,0.823248,C1,sigma2,dose_10
0.08333,0.839238,C1,sigma2,dose_10
0.25,1.528,C1,sigma2,dose_10
0.25,1.199,C1,sigma2,dose_10
0.25,1.385,C1,sigma2,dose_10
0.5,1.287,C1,sigma2,dose_10
0.5,1.307,C1,sigma2,dose_10
0.5,1.129,C1,sigma2,dose_10
1,0.979065,C1,sigma2,dose_10
1,0.981609,C1,sigma2,dose_10
1,0.732554,C1,sigma2,dose_10
2,0.445561,C1,sigma2,dose_10
2,0.762067,C1,sigma2,dose_10
2,0.678966,C1,sigma2,dose_10
4,0.362894,C1,sigma2,dose_10
4,0.33385,C1,sigma2,dose_10
4,0.416625,C1,sigma2,dose_10
6,0.288986,C1,sigma2,dose_10
6,0.213934,C1,sigma2,dose_10
6,0.349913,C1,sigma2,dose_10
8,0.306824,C1,sigma2,dose_10
8,0.281511,C1,sigma2,dose_10
8,0.288891,C1,sigma2,dose_10
12,0.183646,C1,sigma2,dose_10
12,0.271654,C1,sigma2,dose_10
12,0.222158,C1,sigma2,dose_10
24,0.0888139,C1,sigma2,dose_10
24,0.0881306,C1,sigma2,dose_10
24,0.105319,C1,sigma2,dose_10
0.08333,7.791,C1,sigma3,dose_100
0.08333,8.949,C1,sigma3,dose_100
0.08333,8.171,C1,sigma3,dose_100
0.25,12.14,C1,sigma3,dose_100
0.25,12.53,C1,sigma3,dose_100
0.25,14.99,C1,sigma3,dose_100
0.5,12.6,C1,sigma3,dose_100
0.5,9.649,C1,sigma3,dose_100
0.5,16.53,C1,sigma3,dose_100
1,7.331,C1,sigma3,dose_100
1,10.53,C1,sigma3,dose_100
1,7.966,C1,sigma3,dose_100
2,4.535,C1,sigma3,dose_100
2,6.75,C1,sigma3,dose_100
2,4.373,C1,sigma3,dose_100
4,3.581,C1,sigma3,dose_100
4,4.599,C1,sigma3,dose_100
4,3.63,C1,sigma3,dose_100
6,2.906,C1,sigma3,dose_100
6,2.937,C1,sigma3,dose_100
6,2.826,C1,sigma3,dose_100
8,2.692,C1,sigma3,dose_100
8,2.715,C1,sigma3,dose_100
8,2.382,C1,sigma3,dose_100
12,1.778,C1,sigma3,dose_100
12,2.041,C1,sigma3,dose_100
12,2.189,C1,sigma3,dose_100
24,0.877502,C1,sigma3,dose_100
24,1.036,C1,sigma3,dose_100
24,0.724612,C1,sigma3,dose_100
